POZO,SEGMENTO,FORMACION,ZONA,INTERVALO,LITOFACIE DESCRITA,PRODUCCION ACUMULADA OIL [BBLS],TIPO DE PISTOLA,FECHA DE DISPARO,FECHA DE CIERRE,CARGA,FASE,TERMINACIÓN,RESULTADO DEL INTERVALO
SITIO GRANDE 93,1,KM,D,3896-4006,"CALIZA BENTONITICA, PARCIALMENTE MICROFOSILIFERA","2,211,958","PISTOLAS C.J. 1 11/16""",jun-74,ene-80,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYÓ ACEITE Y GAS
SITIO GRANDE 93,1,KM,C,4015-4030,DOLOMIA MICROCRISTALINA,"2,211,958","PISTOLAS C.J. 1 11/16""",jun-74,ene-80,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYÓ ACEITE Y GAS
SITIO GRANDE 911,1,KM,D,3890-3905,,"36,306","2 1/2""",jun-99,dic-03,13 C/M,F-60°,AGUJERO ENTUBADO," DESALOJANDO GAS, ACEITE Y AGUA "
SITIO GRANDE 911,1,KM,C,3928-3958,,"3,390,859","SCALLOP 2"" ",oct-84,jun-99,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, DESALOJANDO AGUA DULCE Y ACEITE 
SITIO GRANDE 91,1,KM,D,3874-3943,"CALIZA ARCILLOSA, 10% DE BENTONITA","39,853,475",NO APLICA,sep-73,jul-93,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, PRODUCTOR DE ACEITE Y GAS 
SITIO GRANDE 85,1,KM,D,4315-4325,CALIZA ARCILLOSA,,"PISTOLAS S.C. 1 9/16""",dic-74,nov-76,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, NO SE OBTUVO MANIFESTACIÓN 
SITIO GRANDE 85,1,KM,D,4353-4358,CALIZA MICROCRISTALINA,,"PISTOLAS S.C. 1 9/16""",dic-74,sep-77,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYO AGUA SALADA
SITIO GRANDE 85,1,KM,D,4317-4360,CALIZA MICROCRISTALINA,,"PISTOLA C.J. 1 11/16""",sep-77,actual,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,INYECTOR
SITIO GRANDE 83,1,KM,D,3989-4023,CALIZA BENTONITICA,"5,344,856","SCALLOP 1 9/16"" ",nov-77,sep-86,1 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 83,1,KM,A,4094-4118,CALIZA BENTONITICA,"1,332,823","PISTOLA C.J. 2 1/6""",ene-74,nov-77,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 811,1,TERCIARIO,,2065-2040,ARENAS,,"PISTOLAS TCP 4 1/2""",feb-08,actual,17 C/M,F-72°,AGUJERO ENTUBADO,INYECTOR
SITIO GRANDE 811,1,TERCIARIO,,2095-2070,ARENAS,,"PISTOLAS TCP 4 1/2""",feb-08,actual,17 C/M,F-72°,AGUJERO ENTUBADO,INYECTOR
SITIO GRANDE 81,1,KM,D,3855-3879,CALIZA DOLOMITICA QUE GRADUA A DOLOMIA MICROCRISTALINA,"67,485","PISTOLA DESINTEGRABLE 2 1/2""",mar-82,feb-83,13 C/M,F-60°,AGUJERO ENTUBADO,PRODUCTOR DE ACEITE Y GAS
SITIO GRANDE 81,1,KM,D,3853-3867,CALIZA DOLOMITICA QUE GRABUA A DOLOMIA MICROCRISTALINA,"455,166","PISTOLA DESINTEGRABLE 2 1/2""",may-03,jul-18,13 C/M,F-60°,AGUJERO ENTUBADO,PRODUCTOR ACEITE Y GAS
SITIO GRANDE 1021,2,KM,B,3830-3850,,"11,878,040","PISTOLA S.C. 2"" ",ago-84,abr-00,13C/M,NO DISPONIBLE,AGUJERO ENTUBADO," FLUYENDO AGUA, ACEITE Y GAS "
SITIO GRANDE 81,1,KM,A,4012-4019,DOLOMIA MICROCRISTALINA,"13,268,054","SCALLOP 1 9/16""",nov-73,mar-82,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO,PRODUCTOR DE ACEITE Y GAS
SITIO GRANDE 81,1,KM,A,3983-4007,DOLOMIA MICROCRISTALINA,"13,268,054","SCALLOP 1 9/16""",nov-73,mar-82,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO,PRODUCTOR DE ACEITE Y GAS
SITIO GRANDE 73,1,KM,D,4030-4086 ,DOLOMIA,"2,470,976",NO APLICA,jul-74,sep-77,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, FLUYÓ GAS Y ACEITE 
SITIO GRANDE 73,1,KM,,4100-4190,DOLOMIA,,NO DISPONIBLE,sep-77,actual,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO, INTERVALO INYECTOR 
SITIO GRANDE 801,2,KM,B,3800-3817,,"10,435,780","PISTOLA S.C. 2""",jun-84,mar-01,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,"DESALOJANDO AGUA, ACEITE Y GAS"
SITIO GRANDE 1011,1,KM,A,4089-4105 ,,"3,816,510",NO APLICA,1985,2021 (ABIERTO),NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, PRODUCTOR 
SITIO GRANDE 101,1,KM,D,3970-4005,"CALIZA BRECHOIDE, BENTONITICA, TRAZAS DE CALIZA DOLOMITICA","10,013,429","PISTOLA C.J. 2 1/8"" ",sep-77,abr-04,1C/M,NO DISPONIBLE,AGUJERO ENTUBADO, PRODUCTOR 
SITIO GRANDE 101,1,KM,D,3969-3978,CALIZA BRECHOIDE,,PISTOLA POWER ESPIRAL,abr-04,abr-04,20C/M,F-45°,AGUJERO ENTUBADO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 101,1,KM,A,4134-4145,DOLIMITA CALCAREA (CALIZA DOLOMITICA),"3,362,869","PISTOLA C.J. 2 1/8"" ",mar-73,sep-77,13C/M,NO DISPONIBLE,AGUJERO ENTUBADO, PRODUCTOR 
SITIO GRANDE 1001,1,KM,D,3838-3855,CALIZA DOLOMITICA,"1,836,682","PISTOLA OWEN 2 1/2""",ago-84,ago-03,20 C/M,F-40°,AGUJERO ENTUBADO,PRODUCTOR
SITIO GRANDE 1001,1,KM,D,3843-3835,CALIZA DOLOMITICA,"1,836,682","PISTOLA ENERJET 2 1/2"" ",ago-03,ABIERTO,13 C/M,F-60°,AGUJERO ENTUBADO,PRODUCTOR
SITIO GRANDE 1001,1,KM,D,3831-3821,CALIZA ARCILLOSA,"1,836,682","PISTOLA ENERJET 2 1/2"" ",ago-03,ABIERTO,13 C/M,F-60°,AGUJERO ENTUBADO,PRODUCTOR 
SITIO GRANDE 1001,1,KM,C,3870-3900,"DOLOMIA, TRAZAS DE CALIZA DOLOMITICA","7,167,735","PISTOLA S.C. 1 9/16"" ",ago-84,feb-97,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYÓ ACEITE Y GAS
SITIO GRANDE 92,2,KM,B,3820-3890 ,DOLOMIA MICROCRISTALINA,"6,253,261",NO APLICA,1974,1985,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 921,2,KM,D,3790-3810,,"1,176,604","PISTOLA S.C 2""",jun-86,feb-09,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, PRODUCTOR 
SITIO GRANDE 921,2,KM,D,3778-3785,,"147,547","PISTOLA S.C. 1 9/16""",dic-84,jun-86,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, PRODUCTOR 
SITIO GRANDE 921,2,KM,C,3828-3842,,,"PISTOLA S.C. 1 9/16""",jun-86,jun-86,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, SIN MANIFESTAR 
SITIO GRANDE 92,2,KM,KS 2,3820-3890 ,LUTITA A CALIZA BRECHOIDE ARRECIFAL,"50,026",NO APLICA,1974,1985,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 92,2,KM,D,3820-3890 ,CALIZA DOLOMITICA,"2,501,304",NO APLICA,1974,1985,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 92,2,KM,C,3820-3890 ,DOLOMIA,"14,257,434",NO APLICA,1974,1985,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 1001,1,KM,B,3870-3900,"DOLOMIA, TRAZAS DE CALIZA DOLOMITICA","4,778,490","PISTOLA S.C. 1 9/16"" ",jul-84,feb-97,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYÓ ACEITE Y GAS
SITIO GRANDE 92,2,KM,A,3820-3890 ,DOLOMIA MICROCRISTALINA,"500,261",NO APLICA,1974,1985,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, FLUYÓ ACEITE Y GAS 
SITIO GRANDE 901,2,KM,D,3928-3942,CALIZA QUE GRADUA A DOLOMIA,,"PISTOLA TCP 3 3/8"" ",sep-02,sep-02,20 C/M,F-60°,AGUJERO ENTUBADO, NO MANIFESTÓ 
SITIO GRANDE 901,2,KM,D,3916-3926,CALIZA DOLOMITICA,"2,541","PISTOLA E.J. 2 1/8"" ",may-93,feb-94,13 C/M,F-40°,AGUJERO ENTUBADO, NO MANIFESTÓ 
SITIO GRANDE 901,2,KM,C,3965-3985,DOLOMIA CALCAREA,"1,084,674","PISTOLA S.C. 2""",abr-85,may-93,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, DESALOJANDO ACEITE Y GAS 
SITIO GRANDE 90,2,KM,D,3747-3767,CALIZA ARCILLOSA CON MICROFAUNA,"380,108",PISTOLA DE ALTA PENETRACIÓN,oct-13,abierto,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYÓ ACEITE Y GAS
SITIO GRANDE 90,2,KM,C,3790-3810,"CALIZA ARCILLOSA CON MICROFAUNA, DENSA EN PARTES PIRITIZADAS","5,739,203","PISTOLA OWEN 2 1/8""",nov-97,oct-13,20 C/M,F-40°,AGUJERO ENTUBADO,PRODUCTOR DE ACEITE Y GAS QO= 1698BPD
SITIO GRANDE 90,2,KM,A,3831-3866,DOLOMIA MICROCRISTALINA A CRISTALINA,"47,946,073","PISTOLA S.C. 1 9/16""",jun-74,nov-97,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYENTE
SITIO GRANDE 801,2,KM,D,3758-3770,,"240,413","PISTOLAS OWEN 2 1/2""",mar-01,ago-03,13 C/M,F-60°,AGUJERO ENTUBADO,"DESALOJANDO AGUA, ACEITE Y GAS"
SITIO GRANDE 103,1,KM,B,4025-4070,,"4,740,103","PISTOLA C.J 2 1/8""",may-74,mar-78,4 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, PRODUCTOR 
SITIO GRANDE 80,2,KM,D-A,3757-3897 ,,"33,968,697",NO APLICA,mar-74,dic-97,NO APLICA,NO APLICA,AGUJERO ENTUBADO,PRODUCTOR DE ACEITE Y GAS
SITIO GRANDE 80,2,KM,C,3730-3738,"CALIZA, TRAZAS DE SILICE Y BENTONITA",,DISPARADO POR ERROR DE CALIBRACION,dic-97,dic-97,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO,DISPARADO POR ERROR DE CALIBRACIÓN
SITIO GRANDE 80,2,KM,C,3770-3783,"CALIZA DENSA, PARCIALMENTE MICROFOSILIFERA, FRACTURADA","1,642,644","PISTOLA OWEN 1 1/2""",may-98,may-18,20C/M,F-40°,AGUJERO ENTUBADO,PRODUCTOR
SITIO GRANDE  71,2,KM,B,3842-3933 ,CALIZA BIOCLASTICA DOLOMITIZADA,"4,200,925",NO APLICA,oct-73,30/04/1986,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, PRODUCTOR FLUYENTE DE ACEITE Y GAS 
SITIO GRANDE 81,1,KM,B,3898-3918,DOLOMIA MICROCRISTALINA,"3,705,490","PISTOLA DESINTEGRABLE 2 1/2""",feb-83,may-03,13 C/M,F-60°,AGUJERO ENTUBADO,PRODUCTOR DE ACEITE Y GAS
SITIO GRANDE 80,2,KM,A,3837-3850,DOLOMIA MICROCRISTALINA,,"PISTOLA TCP 3 1/2""",may-98,may-98,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO,OBTURADO
SITIO GRANDE 80,2,KM,A,3892-3896,DOLOMIA MICROCRISTALINA,,"PISTOLA OWEN 2 1/8""",feb-98,no fue productor,20 C/M,f-40°,AGUJERO ENTUBADO,OBTURADO
SITIO GRANDE 80,2,KM,A,3930-3937,DOLOMIA MICROCRISTALINA,,"PISTOLA OWEN 2 1/8""",feb-98,no fue disparado,20 C/M,f-40°,AGUJERO ENTUBADO,OBTURADO
SITIO GRANDE 701,2,KM,D,3800-3813,,,"PISTOLA ENTUBADA 2 1/8""",ene-92,jun-05,20 C/M,F-40°,AGUJERO ENTUBADO,SIN PRESION
SITIO GRANDE 701,2,KM,D,3827-3835,,,"TCP 3 3/8""",ago-02,ago-02,20 C/M,F-60°,AGUJERO ENTUBADO,SIN PRESION
SITIO GRANDE 701,2,KM,C,3845-3855,,,"PISTOLA S.C. 2 1/8""  ",jul-90,ene-92,16 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,SIN PRESION
SITIO GRANDE 701,2,KM,A,3866-3930,,"1,405,947","PISTOLA S.C. 2"" ",may-84,jul-90,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYENDO ACEITE Y GAS
SITIO GRANDE 701,2,KM,A,3866-3930,,,"PISTOLA S.C. 2"" ",may-84,jul-90,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYENDO ACEITE Y GAS
SITIO GRANDE 63,2,KM,D,4107-4140,,,,,,,,,INYECTOR
SITIO GRANDE 63,2,KM,D,4107-4140,INTERCALACION DE CALIZA A CALIZA DOLOMITICA Y DOLOMIA PURA ZONA INFERIOR,"323,766","PISTOLA S.C. 1 9/16""",oct-74,may-76,13 C/M,NO DISPONIBLE,AGUJERO ENTUBADO, PRODUCTOR DE ACEITE Y GAS 
SITIO GRANDE 110,8,KM,B,4087-4118,CALIZA DOLOMITICA,"3,657,974","PISTOLA 2 1/2"" DESINTEGRABLE",ago-74,dic-03,NO DISPONIBLE,NO DISPONIBLE,AGUJERO ENTUBADO,FLUYÓ ACEITE Y GAS
SITIO GRANDE 63,2,KM,A,4213-4255,DOLOMIA,,,,,,,,INYECTOR
SITIO GRANDE 61D,2,KM,D,3900-3950 ,DOLOMIA CALCAREA,"809,843",NO APLICA,may-86,jul-04,NO APLICA,NO APLICA,AGUJERO DESCUBIERTO, PRODUCTOR 
SITIO GRANDE 61D,2,KM,C,3900-3950 ,DOLOMIA CALCAREA,"202,460",NO APLICA,may-86,jul-04,,,AGUJERO DESCUBIERTO,
